"Designator","Footprint","Mid X","Mid Y","Ref X","Ref Y","Pad X","Pad Y","Layer","Rotation","Comment"
"FB3","LS-1608","17.2mm","1.5mm","17.2mm","1.5mm","17.2mm","2.262mm","B","270.00","220R"
"FB6","LS-1608","-2.3mm","10.2mm","-2.3mm","10.2mm","-2.3mm","10.962mm","T","270.00","220R"
"FB7","LS-1608","-0.8mm","10.2mm","-0.8mm","10.2mm","-0.8mm","10.962mm","T","270.00","220R//NI"
"J1","BTB2X50-050-F-SMD","26.37mm","0mm","26.37mm","0mm","24.645mm","-12.25mm","T","180.00","LB222-G100S-BOR"
"J2","BTB2X50-050-M-SMD","-26.37mm","0mm","-26.37mm","0mm","-27.62mm","-13.2mm","T","180.00","LB208-G100P-BOR"
"J3","12505WR-8P","0mm","-15.7084mm","0mm","-15.7084mm","-4.375mm","-14.2584mm","B","180.00","12505WR-08"
"J4","PH-2PSM","21.7mm","17mm","21.7mm","17mm","22.97mm","17mm","B","90.00","PH-2PSM//NI"
"J6","TP_HEADER_6","19mm","-17.7mm","19mm","-17.7mm","15.875mm","-17.7mm","T","360.00","6pin 2.54mm//NI"
"J10","CON_u-SD","-11.6083mm","9.6681mm","-13.8659mm","4.4118mm","-13.8659mm","4.4118mm","T","0.00","112J-TXAR-R"
"L2","CDRH2D14NP","10mm","12.1mm","10mm","12.1mm","8.9mm","13.2mm","B","180.00","CDRH2D14NP-2R2NC"
"L4","CDRH2D14NP","16.6mm","4.2mm","16.6mm","4.2mm","17.7mm","5.3mm","T","360.00","CDRH2D14NP-2R2NC"
"L5","LS-2012","-15.7mm","-9.9mm","-15.7mm","-9.9mm","-16.7795mm","-9.9mm","T","0.00","10uH"
"MH1","VA-2.2","-27.3mm","16.3mm","-27.3mm","16.3mm","-27.3mm","16.3mm","T","0.00","4.04pi"
"MH2","VA-2.2","-27.3mm","-16.3mm","-27.3mm","-16.3mm","-27.3mm","-16.3mm","T","0.00","4.04pi"
"MH3","VA-2.2","27.3mm","-16.3mm","27.3mm","-16.3mm","27.3mm","-16.3mm","T","0.00","4.04pi"
"MH4","VA-2.2","27.3mm","16.3mm","27.3mm","16.3mm","27.3mm","16.3mm","T","0.00","4.04pi"
"OSC1","SX-32","10.8364mm","4.084mm","10.8364mm","4.084mm","11.9364mm","3.334mm","B","360.00","24Mhz-SX32-1.8V"
